tech_id,bottleneck_id,tech_name,principle,trl,trl_basis,developers,decisive_milestone,remaining_hard_problems,commercialization_from,commercialization_to,commercialization_reasoning,failure_scenario,attacks_axis,depends_on,modality_scope,evidence_ids,notes
T-001,B1,Virtual cell foundation models (perturbation-response transformers),"Train a sequence/expression model on millions of single cells whose state was measured after a defined genetic, chemical or cytokine perturbation, so that the transcriptomic consequence of knocking out or drugging a candidate target can be predicted in silico across cell contexts before any wet experiment is run; the target list is then triaged on predicted disease-relevant state shift rather than on literature enrichment.",3,"Model published with public weights and a public benchmark challenge exists, but no target nominated by a virtual cell model has been shown to survive a human efficacy readout; that is proof of concept, not validation in a relevant environment. [E-8005][E-8008]",Arc Institute; Chan Zuckerberg Biohub; Tahoe Therapeutics; NVIDIA BioNeMo; academic labs contributing to Virtual Cell Challenge,"A target nominated prospectively by a virtual cell model, with no prior human genetic support and no prior literature, reaches Phase 2 and shows a target-engagement-linked efficacy signal; checkable by 2031 via ClinicalTrials.gov plus the sponsor's stated discovery provenance.","Training data are dominated by immortalised cancer cell lines under acute perturbation; the models predict mean expression shift, not disease phenotype, and there is no causal identifiability from observational transcriptomes. Generalisation to unseen genes and to primary diseased human tissue is unproven.",2031,2038,"Requires (a) perturbation data in primary human diseased tissue, which the announced 2026 datasets do not provide, and (b) at least one full clinical cycle to test a model-nominated target; the earliest clinical readout that could count is therefore end of decade, and broad commercial reliance one clinical generation later.","Models plateau at interpolating perturbations similar to their training distribution, are excellent at reproducing held-out cell lines and useless on novel biology, and settle into a permanent role as assay-triage tooling that never changes a go/no-go decision.",P,B10;B9,all modalities; strongest for small molecule and biologics target selection,E-8005;E-8006;E-8008,also relevant to B10 (it is a consumer of perturbation data)
T-002,B1,Human-genetics-anchored target selection (GWAS + colocalisation + Mendelian randomisation + ML integration),"Use naturally occurring human genetic variation that alters a candidate target's function as a lifelong randomised experiment in humans, and select only targets where variant-phenotype direction matches the intended therapeutic direction; this substitutes human causal evidence for animal-model causal evidence at the point of target choice.",8,"Routinely used in operations by multiple large sponsors through Open Targets and internal genetics units, with retrospective outcome analyses published; not 9 because no prospective, pre-registered demonstration of the effect size exists. [E-8009][E-8010]","Open Targets (EMBL-EBI, Wellcome Sanger Institute, GSK, Genentech, MSD); Regeneron Genetics Center; deCODE genetics; UK Biobank; FinnGen","A pre-registered prospective cohort of targets selected after 2020, split by genetic support, reports differential Phase 2 to Phase 3 progression with the analysis plan published before readout; checkable by 2031.","Only a minority of biologically interesting targets have a tractable common-variant signal. Mendelian randomisation significance alone does not enrich for Phase 2 success. Tissue-specific eQTL attribution and horizontal pleiotropy remain unresolved, and the direction-of-effect inference frequently fails for targets whose biology is dose- and context-dependent.",2015,2026,Already commercially deployed; the range marks the period from Open Targets launch to present routine use rather than a future window.,"The reported approximate doubling of approval odds turns out to be partly a selection artefact: genetically supported targets cluster in indications with objective biomarkers and short trials, so the apparent probability gain does not transfer to indications where attrition actually concentrates.",P,,all modalities,E-8009;E-8010,"the single highest-elasticity bottleneck (B1, elasticity point 10) and the only mature technology attacking it"
T-003,B1,"In vivo spatially resolved pooled CRISPR screening (Perturb-DBiT, Perturb-Multimodal)","Deliver a large sgRNA library into intact tissue, then read out perturbation identity and spatial whole-transcriptome response on the same tissue section, so that gene function is measured in the native microenvironment including stroma and immune contact rather than in dissociated monoculture.",4,"Peer-reviewed platform papers in Nature Biotechnology and Cell demonstrating 80,000-guide panels in tissue sections; component validation in a laboratory setting, not yet a validated discovery pipeline. [E-8011][E-8012]",Yale University (Rong Fan laboratory); Broad Institute; Whitehead Institute (Weissman laboratory); Arc Institute,"A therapeutic target first nominated by an in vivo spatial perturbation screen, in human or humanised tissue, reaches IND; checkable by 2032 from the sponsor's published discovery narrative.","Library delivery into human-relevant tissue is the actual constraint; sgRNA capture efficiency in spatial assays is low, and the mouse tumour or mouse organ in which the screen runs re-imports the very animal-model predictivity problem the approach was meant to bypass.",2029,2035,"Platform papers appeared 2025-2026; historical lag from a published screening modality to first IND traceable to it has been roughly five to eight years for pooled CRISPR generally, and delivery into human tissue is unsolved.","The readout stays a transcriptomic proxy. Screens produce long ranked lists that reproduce known biology, and the spatial dimension adds cost without changing which target is picked.",P,B7,all modalities; primarily oncology and immunology target discovery,E-8011;E-8012;E-8087,
T-004,B1,Genome-scale Perturb-seq in primary human cells,"Run pooled CRISPR perturbation with single-cell transcriptomic readout directly in primary human immune or tissue cells from donors, rather than in immortalised lines, so that the regulatory network measured is the one that exists in human physiology.",5,"Genome-scale Perturb-seq in primary human CD4+ T cells and pooled knockout screens in primary human myeloid cells are published; the method is validated in a relevant biological environment but not yet a routine, costed service. [E-8087]",University of California San Francisco (Marson laboratory); Broad Institute; Whitehead Institute (Weissman laboratory); commercial single-cell providers,"A commercial or core-facility service offers genome-scale Perturb-seq in primary patient-derived cells at a published price under roughly USD 500,000 per screen with donor replication; checkable by 2030 from provider price lists.",Editing efficiency and viability in primary cells vary sharply by donor and cell type; donor-to-donor variance can exceed the perturbation effect; cost per screen is currently prohibitive for anything but flagship programmes.,2027,2032,"The method exists now in leading academic laboratories; commoditisation historically follows two to five years behind for single-cell methods, gated mainly by reagent cost curves.","Donor heterogeneity swamps perturbation signal, forcing screens back to pooled donors or cell lines and reintroducing the artificiality the method was meant to remove.",P,B9;B10,biologics and cell therapy target discovery; immunology-weighted,E-8087;E-8012,
T-005,B1,Chemical-genetic perturbation atlases as an industrial data factory (Tahoe Mosaic-class),"Industrialise the generation side rather than the model side: run tens of thousands of drug and cytokine perturbations across dozens of cell models at single-cell resolution and release the atlas, so that mechanism-of-action and target deconvolution can be done by nearest-neighbour lookup against a dense reference rather than by bespoke experiments.",6,"Tahoe-100M was produced, released and widely redistributed, and a four-fold larger successor was announced in January 2026; the platform demonstrably operates at industrial scale, but its output has not yet been shown to change a target decision. [E-8006][E-8007]",Tahoe Therapeutics; Arc Institute; Chan Zuckerberg Biohub,A published case in which a first-in-class target or a mechanism-of-action reassignment derived solely from atlas lookup is confirmed by an orthogonal wet experiment and carried into a development programme; checkable by 2030.,Fifty cancer cell lines are not human tissue diversity; single-dose or three-dose exposure is not pharmacology; and the transcriptome is a proxy for phenotype that fails precisely for targets acting post-transcriptionally.,2026,2030,"The data already exist and are already being sold and licensed; the commercial question is whether decision value follows, which the announced 2026 expansion should settle within a few years.","The atlas becomes a benchmark artefact: heavily downloaded, heavily cited, and used almost entirely to train and compare models rather than to make discovery decisions.",C;P,,small molecule mechanism-of-action; oncology-weighted,E-8006;E-8007,primary data resource; also underpins B10
T-006,B1,"Cross-tissue 3D spatial human reference atlases (Human Cell Atlas, HuBMAP)","Build a spatially resolved, donor-diverse reference of which cell types express which genes in which anatomical context, so that a candidate target's expression footprint - and therefore its on-target off-tissue liability and its cell-type-specific rationale - can be checked against real human tissue rather than bulk GTEx averages.",6,"Large parts of the atlas are released and in operational research use, but the 2026 consortium agenda still lists a clinically applicable 3D cross-tissue reference as work in progress, so the resource is not yet complete or decision-grade. [E-8013]",Human Cell Atlas consortium; HuBMAP; Wellcome Sanger Institute; Broad Institute; Vizgen and 10x Genomics as platform vendors,An IND or briefing package in which atlas-derived cell-type-specific expression is cited as the basis for an on-target safety argument and the agency does not require a supplementary animal tissue cross-reactivity study; checkable by 2031.,Sampling is biased toward accessible tissues and toward donors who die in ways that permit collection; diseased-tissue coverage lags healthy coverage; and expression presence is not causal involvement.,2028,2034,"Atlas completion targets are consortium-declared rather than contractual, and regulatory reliance on an atlas requires a qualification-style precedent that does not yet exist.","The atlas is descriptively magnificent and decisionally inert: it tells you where a gene is expressed, which was rarely the reason a target failed.",P,,all modalities,E-8013,
T-007,B2,Liver microphysiological systems for drug-induced liver injury inside the FDA ISTAND pathway,"Perfuse primary human hepatocytes with non-parenchymal cells in a flow device that reproduces sinusoidal shear and zonation, and read out multiple hepatic injury markers simultaneously, so that human-specific hepatotoxicity invisible to rodents is detected before first-in-human dosing.",6,"A letter of intent was accepted into ISTAND in September 2024, which is step one of three in drug development tool qualification; the technology is demonstrated in a relevant environment but is not qualified and is not routinely accepted third-party evidence. [E-8003][E-8030]",Emulate; CN Bio Innovations; Javelin Biotech; 3Rs Collaborative; FDA CDER; Liver Chip academic groups,"FDA issues a qualification decision for a liver MPS with a stated context of use, and at least one sponsor cites that qualification in a submission without a parallel animal hepatotoxicity study; checkable by 2031 on the FDA DDT qualification programme page.","Idiosyncratic DILI is immune-mediated and most chips contain no adaptive immune compartment. Reported sensitivity of the best-characterised human liver models is around 69 percent at full specificity, so roughly a third of hepatotoxins are still missed. Inter-laboratory reproducibility and hepatocyte donor variability remain unquantified at qualification standard.",2027,2032,"ISTAND letters of intent historically take several years to reach a qualification decision; the March 2026 NAM draft guidance supplies the missing evaluative framework, so a decision in the late 2020s is plausible and industry uptake follows one to three years after.","Qualification arrives with a context of use so narrow - one injury mechanism, one compound class - that sponsors run the chip and the rodent study, adding cost and removing none.",C;P,B5,small molecule primarily; biologics hepatotoxicity is rarely the failure mode,E-8003;E-8030;E-8001,also serves B8
T-008,B2,Multi-organ body-on-chip with linked pharmacokinetic scaling,"Fluidically connect liver, kidney, heart, gut and other tissue chips at physiologically scaled volumes and flow ratios so that a compound's metabolites - not just the parent compound - reach downstream organs, allowing human ADME-toxicity interactions to be observed in vitro.",4,"Multi-organ systems are published and commercially available as research instruments, but no regulatory submission has substituted one for a required repeat-dose toxicology study; component validation only. [E-8001][E-8095]",Emulate; CN Bio Innovations; Hesperos; TissUse; NIH NCATS Tissue Chip programme; Wyss Institute,A sponsor's IND is cleared where a 28-day repeat-dose systemic toxicity conclusion rests on a multi-organ MPS package and no corresponding rodent study is submitted; checkable by 2033.,"There is no agreed allometric scaling law between chip compartments; a single shared medium cannot simultaneously satisfy each tissue's requirements; and the systems lack immune, neuroendocrine and microbiome axes that drive much systemic toxicity.",2030,2038,"Single-organ chips have taken roughly a decade to reach the first step of qualification; a multi-organ system must clear the single-organ precedent first and then solve scaling, so it trails by at least one regulatory generation.","Complexity outruns characterisation: each added organ adds failure modes and variance faster than it adds predictive signal, and the field consolidates back onto well-characterised single-organ chips.",C;P,B5;B2,small molecule; ADC payload systemic toxicity,E-8001;E-8095,depends on single-organ MPS qualification (T-007) being established first
T-009,B2,Patient-derived organoid co-clinical response prediction,"Expand a patient's own tumour or tissue as a self-organising 3D culture that retains its genetic and architectural features, expose it to the candidate therapy, and use the ex vivo response as a predictor of that patient's clinical response - converting the animal-model predictivity question into a human-tissue measurement.",5,"Retrospective concordance is published with positive predictive value around 0.78 and negative predictive value around 0.80, and prospective co-clinical trials are registered and running; validated in a relevant environment but not yet in an interventional randomised setting. [E-8083]",Hubrecht Institute (Clevers laboratory); academic organoid biobanks; Crown Bioscience; Xilis; multiple hospital-based co-clinical programmes,A prospective randomised trial in which organoid-guided therapy selection beats physician-choice standard of care on progression-free survival reports a positive result; checkable by 2031 on ClinicalTrials.gov.,"Organoids drop the stroma, vasculature and immune compartment that determine much of real drug response; establishment success rates are poor for several tumour types; and the two-to-six-week turnaround is longer than the clinical decision window in aggressive disease.",2027,2033,Prospective co-clinical trials are enrolling now and read out in the late 2020s; reimbursement as a companion diagnostic would follow a positive interventional result by two to four years.,"Organoids predict chemotherapy sensitivity - which was already predictable - and fail exactly where prediction is needed, on immunotherapy and on stroma-dependent agents, so the technology is confined to a shrinking slice of oncology.",P,,oncology small molecule and ADC; limited applicability to systemic biologics,E-8083,
T-010,B2,Immune-competent organoids and lymphoid organoid systems,"Reconstruct a functioning human adaptive immune compartment in vitro - tumour organoids co-cultured with autologous lymphocytes, or organoids grown from lymphoid tissue - so that immune-mediated efficacy and immune-mediated toxicity, the two failure modes least served by animal models, can be measured in human cells.",3,"Engineered human immune organoids are described in review literature as an emerging research capability; no standardised, reproducible platform with published predictive performance exists. [E-8084]",Academic translational immunology groups; Stanford and MIT tissue engineering laboratories; early-stage companies commercialising lymphoid organoids,A published head-to-head study in which an immune organoid platform prospectively predicts clinical response or cytokine release syndrome for a T-cell engager or checkpoint agent across at least twenty compounds; checkable by 2032.,"Germinal centre formation, antigen presentation timing and lymphocyte trafficking cannot yet be sustained in vitro for the weeks that adaptive responses require; autologous immune cells from patients are limited and heterogeneous.",2031,2039,The core immunological problem - sustaining adaptive immunity ex vivo - has resisted solution for decades and there is no announced programme with a near-term milestone; commercial availability therefore sits beyond 2030.,"The systems reproduce innate activation convincingly and adaptive memory not at all, so they predict acute cytokine release but not durable efficacy, which is the question sponsors actually need answered.",P,,"cell therapy, T-cell engagers, checkpoint inhibitors, vaccines",E-8084,one of the few technologies aimed squarely at immune-mediated attrition; low TRL
